condition,attack_rate,seed,reward,violation_factor,accuracy,unauth_block,excess_block,mismatch_detect,normal_completion,mismatch_contained,false_positive,false_negative,latency_ms,latency_sd,messages_per_completed,result_bytes_per_completed,verif_bytes_per_completed,final_trust_b,time_to_quarantine,quarantine_reached
baseline,0.15,42,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6486085173673928,0.10219314502899719,3.0,96.89473684210526,0.0,0.7,,False
baseline,0.15,43,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6411659001605585,0.011538417787210858,3.0,93.2421052631579,0.0,0.7,,False
baseline,0.15,44,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6383501866366714,0.013203298175649204,3.0,91.63684210526316,0.0,0.7,,False
baseline,0.15,45,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6394558399915695,0.011797264368753755,3.0,93.02631578947368,0.0,0.7,,False
baseline,0.15,46,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6360620819032192,0.009784644957362433,3.0,96.52631578947368,0.0,0.7,,False
baseline,0.15,47,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6366829155012965,0.013320338497147685,3.0,92.58947368421053,0.0,0.7,,False
baseline,0.15,48,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6440147914690897,0.014120640317858231,3.0,96.6,0.0,0.7,,False
baseline,0.15,49,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6420961947878823,0.01393641280768157,3.0,91.15789473684211,0.0,0.7,,False
baseline,0.15,50,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6410333019448444,0.008492667499480955,3.0,96.5578947368421,0.0,0.7,,False
baseline,0.15,51,0.02,0.7,0.9,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6416403671028093,0.008785049848821558,3.0,101.5,0.0,0.7,,False
scoped,0.15,42,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6458882737206295,0.012064315314197603,3.0,95.91666666666667,0.0,0.7,,False
scoped,0.15,43,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.643994576530531,0.009777468055500494,3.0,91.81111111111112,0.0,0.7,,False
scoped,0.15,44,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6449946947395802,0.01239264289509856,3.0,90.55555555555556,0.0,0.7,,False
scoped,0.15,45,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6450653559295461,0.011358754674605278,3.0,91.65,0.0,0.7,,False
scoped,0.15,46,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6437137228203937,0.013198278977174488,3.0,95.95,0.0,0.7,,False
scoped,0.15,47,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6427562306635082,0.012005003200198344,3.0,91.75555555555556,0.0,0.7,,False
scoped,0.15,48,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6444544141413644,0.011540424716758412,3.0,95.75,0.0,0.7,,False
scoped,0.15,49,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.64558292448055,0.0119966306607361,3.0,89.70555555555555,0.0,0.7,,False
scoped,0.15,50,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6434634962351993,0.011104353357881385,3.0,95.80555555555556,0.0,0.7,,False
scoped,0.15,51,0.02,0.7,0.95,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6441060215001926,0.010426073915167186,3.0,100.11111111111111,0.0,0.7,,False
V1,0.15,42,0.02,0.7,0.82,1.0,1.0,1.0,0.788235294117647,1.0,0.21176470588235294,0.0,0.961194327683188,0.0974560584015302,3.0,87.38805970149254,0.0,0.7,,False
V1,0.15,43,0.02,0.7,0.83,1.0,1.0,1.0,0.8,1.0,0.2,0.0,0.960406627273187,0.09677686056802444,3.0,83.94852941176471,0.0,0.7,,False
V1,0.15,44,0.02,0.7,0.875,1.0,1.0,1.0,0.8529411764705882,1.0,0.14705882352941177,0.0,0.9582247136859223,0.09699453958508117,3.0,84.80689655172414,0.0,0.7,,False
V1,0.15,45,0.02,0.7,0.805,1.0,1.0,1.0,0.7705882352941177,1.0,0.22941176470588234,0.0,0.9588228847132996,0.09694193140865129,3.0,82.16793893129771,0.0,0.7,,False
V1,0.15,46,0.02,0.7,0.78,1.0,1.0,1.0,0.7411764705882353,1.0,0.25882352941176473,0.0,0.9609683125745505,0.09742527470155667,3.0,85.47619047619048,0.0,0.7,,False
V1,0.15,47,0.02,0.7,0.81,1.0,1.0,1.0,0.7764705882352941,1.0,0.2235294117647059,0.0,0.9650535223772749,0.10034497652084615,3.0,80.71969696969697,0.0,0.7,,False
V1,0.15,48,0.02,0.7,0.8,1.0,1.0,1.0,0.7647058823529411,1.0,0.23529411764705882,0.0,0.9602874843403697,0.09570411336853257,3.0,87.54615384615384,0.0,0.7,,False
V1,0.15,49,0.02,0.7,0.81,1.0,1.0,1.0,0.7764705882352941,1.0,0.2235294117647059,0.0,0.9585076698567718,0.09771614011009562,3.0,80.31060606060606,0.0,0.7,,False
V1,0.15,50,0.02,0.7,0.77,1.0,1.0,1.0,0.7294117647058823,1.0,0.27058823529411763,0.0,0.9583676978945732,0.09584446282130223,3.0,83.2258064516129,0.0,0.7,,False
V1,0.15,51,0.02,0.7,0.795,1.0,1.0,1.0,0.7588235294117647,1.0,0.2411764705882353,0.0,0.9597764181671664,0.0976137986076214,3.0,89.03100775193798,0.0,0.7,,False
V2,0.15,42,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9431472700089216,0.09894505920397964,3.0,97.38235294117646,244.85294117647058,0.7,,False
V2,0.15,43,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9370749333174899,0.09886945247117439,3.0,93.03529411764706,240.1529411764706,0.7,,False
V2,0.15,44,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9379064268432558,0.09962489211563512,3.0,91.70588235294117,239.28235294117647,0.7,,False
V2,0.15,45,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9392141160788015,0.09771204229659823,3.0,92.86470588235294,238.4764705882353,0.7,,False
V2,0.15,46,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.939348746323958,0.09998940780896108,3.0,97.41764705882353,244.25294117647059,0.7,,False
V2,0.15,47,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9385901526547968,0.09998443767288896,3.0,92.97647058823529,237.72941176470587,0.7,,False
V2,0.15,48,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9380140993744135,0.10071035884518609,3.0,97.20588235294117,245.7235294117647,0.7,,False
