condition,attack_rate,seed,reward,violation_factor,accuracy,unauth_block,excess_block,mismatch_detect,normal_completion,mismatch_contained,false_positive,false_negative,latency_ms,latency_sd,messages_per_completed,result_bytes_per_completed,verif_bytes_per_completed,final_trust_b,time_to_quarantine,quarantine_reached
V2,0.05,42,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9603337338194251,0.05886685402710165,3.0,96.1421052631579,243.94210526315788,0.7,,False
V2,0.05,43,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9633849572855979,0.06713244977580957,3.0,96.02105263157895,243.56842105263158,0.7,,False
V2,0.05,44,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9610116312978789,0.05848063604530539,3.0,92.8578947368421,241.53684210526316,0.7,,False
V2,0.05,45,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9597388905240223,0.05872268832642283,3.0,93.96315789473684,240.11052631578949,0.7,,False
V2,0.05,46,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9590516646858305,0.05682572370364712,3.0,92.57368421052631,238.7263157894737,0.7,,False
V2,0.05,47,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9603387513197958,0.05693310735046195,3.0,93.80526315789474,239.2,0.7,,False
V2,0.05,48,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9583589597605169,0.0590305012290968,3.0,96.15263157894736,244.58947368421053,0.7,,False
V2,0.05,49,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.959103912464343,0.05935581651960705,3.0,91.19473684210526,237.19473684210527,0.7,,False
V2,0.05,50,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9601806430146098,0.057550952207139516,3.0,97.2421052631579,245.39473684210526,0.7,,False
V2,0.05,51,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9588158456608653,0.057760346148964865,3.0,100.22105263157894,247.15263157894736,0.7,,False
V2,0.1,42,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9500722592929378,0.07896576360254837,3.0,98.45,246.57777777777778,0.7,,False
V2,0.1,43,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9485153970308602,0.07788866821268386,3.0,94.04444444444445,240.13333333333333,0.7,,False
V2,0.1,44,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9512736543547362,0.0803494659043645,3.0,93.83888888888889,242.24444444444444,0.7,,False
V2,0.1,45,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.951150378677994,0.07856212982501581,3.0,93.2611111111111,238.99444444444444,0.7,,False
V2,0.1,46,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9524780913488939,0.07745898761118938,3.0,94.8,241.20555555555555,0.7,,False
V2,0.1,47,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9506719966884702,0.07762598715419762,3.0,94.44444444444444,239.69444444444446,0.7,,False
V2,0.1,48,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.950842471793294,0.07868534781944764,3.0,98.12777777777778,247.40555555555557,0.7,,False
V2,0.1,49,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9496799524640664,0.07761843071890008,3.0,92.15,238.85,0.7,,False
V2,0.1,50,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.950310968910344,0.07820186721863519,3.0,95.02222222222223,242.05,0.7,,False
V2,0.1,51,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9498449636157602,0.07944619882280754,3.0,101.2611111111111,248.77777777777777,0.7,,False
V2,0.15,42,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9370480489451438,0.09953942105383591,3.0,97.38235294117646,244.85294117647058,0.7,,False
V2,0.15,43,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9343760588672012,0.0996743549028259,3.0,93.03529411764706,240.1529411764706,0.7,,False
V2,0.15,44,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9355693607358262,0.09877248704275937,3.0,91.70588235294117,239.28235294117647,0.7,,False
V2,0.15,45,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9359037427930161,0.10008611649518949,3.0,92.86470588235294,238.4764705882353,0.7,,False
V2,0.15,46,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9375459695002064,0.09961233509429437,3.0,97.41764705882353,244.25294117647059,0.7,,False
V2,0.15,47,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9359170030802488,0.09985005568164175,3.0,92.97647058823529,237.72941176470587,0.7,,False
V2,0.15,48,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9356397431110963,0.09997898897063812,3.0,97.20588235294117,245.7235294117647,0.7,,False
V2,0.15,49,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9365176316350698,0.09816980519689994,3.0,90.80588235294118,237.26470588235293,0.7,,False
V2,0.15,50,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0332405869849026,0.7725001965202828,3.0,97.26470588235294,243.94117647058823,0.7,,False
V2,0.15,51,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9451925184112042,0.102187108697953,3.0,101.82352941176471,248.98235294117646,0.7,,False
V2,0.2,42,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9288068336900324,0.11148960151069091,3.0,97.36875,244.80625,0.7,,False
V2,0.2,43,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.813051417702809,2.239328124129013,3.0,96.01875,243.33125,0.7,,False
V2,0.2,44,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.132785448571667,1.2926404648346637,3.0,94.625,243.65625,0.7,,False
V2,0.2,45,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9370696049882099,0.11385453857318517,3.0,91.74375,238.45625,0.7,,False
V2,0.2,46,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9312249952927232,0.11248069817955639,3.0,96.0375,243.3375,0.7,,False
V2,0.2,47,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9334090969059616,0.11885159012983937,3.0,93.45,239.45,0.7,,False
V2,0.2,48,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9317839611321688,0.1184040631395552,3.0,94.5625,242.55,0.7,,False
V2,0.2,49,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9586943103931844,0.3364144458261529,3.0,90.3875,236.225,0.7,,False
V2,0.2,50,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9318491275189444,0.11322980421731074,3.0,94.79375,241.18125,0.7,,False
V2,0.2,51,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.92900617106352,0.11078771186354175,3.0,98.88125,245.96875,0.7,,False
V2,0.25,42,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.921191877569072,0.1206427924317155,3.0,99.23333333333333,247.81333333333333,0.7,,False
V2,0.25,43,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9192995721241459,0.12048979305769941,3.0,93.59333333333333,241.22,0.7,,False
V2,0.25,44,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9197068330831826,0.11934300724571635,3.0,95.49333333333334,245.18666666666667,0.7,,False
V2,0.25,45,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9203803923446685,0.12009962576704199,3.0,93.84666666666666,239.91333333333333,0.7,,False
V2,0.25,46,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9305639413651079,0.125994457202252,3.0,95.26666666666667,243.10666666666665,0.7,,False
V2,0.25,47,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9250237786909565,0.12463469561969531,3.0,98.46666666666667,245.36666666666667,0.7,,False
V2,0.25,48,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9200860606506467,0.12172025749013972,3.0,96.64666666666666,245.82666666666665,0.7,,False
