condition,attack_rate,seed,reward,violation_factor,accuracy,unauth_block,excess_block,mismatch_detect,normal_completion,mismatch_contained,false_positive,false_negative,latency_ms,latency_sd,messages_per_completed,result_bytes_per_completed,verif_bytes_per_completed,final_trust_b,time_to_quarantine,quarantine_reached
V2,0.15,42,0.01,0.5,0.455,1.0,1.0,0.1,0.4117647058823529,1.0,0.5882352941176471,0.0,0.7604893407551572,0.1583189061542161,3.0,68.71428571428571,205.14285714285714,0.36,0,True
V2,0.15,43,0.01,0.5,0.48,1.0,1.0,0.1,0.4411764705882353,1.0,0.5588235294117647,0.0,0.7656977203441784,0.15925605213691982,3.0,70.21333333333334,206.62666666666667,0.365,0,True
V2,0.15,44,0.01,0.5,0.615,1.0,1.0,0.2,0.5941176470588235,1.0,0.40588235294117647,0.0,0.8282345609040931,0.173116291108488,3.0,76.62376237623762,217.009900990099,0.26000000000000006,12,True
V2,0.15,45,0.01,0.5,0.49,1.0,1.0,0.1,0.45294117647058824,1.0,0.5470588235294118,0.0,0.807942261453718,0.20141660072421813,3.0,67.2987012987013,203.67532467532467,0.355,0,True
V2,0.15,46,0.01,0.5,0.66,1.0,1.0,0.2,0.6470588235294118,1.0,0.35294117647058826,0.0,0.8395774511154741,0.167543353409539,3.0,86.52727272727273,229.56363636363636,0.38000000000000017,37,True
V2,0.15,47,0.01,0.5,0.58,1.0,1.0,0.2,0.5529411764705883,1.0,0.4470588235294118,0.0,0.8658936974825338,0.26851828602336375,3.0,74.06382978723404,212.87234042553192,0.20500000000000002,1,True
V2,0.15,48,0.01,0.5,0.44,1.0,1.0,0.1,0.3941176470588235,1.0,0.6058823529411764,0.0,0.7642016391037032,0.1592110249657911,3.0,74.7910447761194,213.01492537313433,0.395,0,True
V2,0.15,49,0.01,0.5,0.465,1.0,1.0,0.1,0.4235294117647059,1.0,0.5764705882352941,0.0,0.7603752234717831,0.15666259806459668,3.0,67.0,203.0,0.35,0,True
V2,0.15,50,0.01,0.5,0.505,1.0,1.0,0.2,0.4647058823529412,1.0,0.5352941176470588,0.0,0.7732812117319554,0.16043369264992838,3.0,76.12658227848101,216.22784810126583,0.21500000000000002,1,True
V2,0.15,51,0.01,0.5,0.465,1.0,1.0,0.1,0.4235294117647059,1.0,0.5764705882352941,0.0,0.7627790956757963,0.1593015967614319,3.0,72.84722222222223,210.88888888888889,0.385,0,True
V2,0.15,42,0.02,0.5,0.455,1.0,1.0,0.1,0.4117647058823529,1.0,0.5882352941176471,0.0,0.8240512060001493,0.2552943567054784,3.0,68.71428571428571,205.14285714285714,0.37,0,True
V2,0.15,43,0.02,0.5,0.48,1.0,1.0,0.1,0.4411764705882353,1.0,0.5588235294117647,0.0,0.7740791322430596,0.16081511011844274,3.0,70.21333333333334,206.62666666666667,0.38,0,True
V2,0.15,44,0.02,0.5,0.615,1.0,1.0,0.2,0.5941176470588235,1.0,0.40588235294117647,0.0,0.8094503922620788,0.16233329776377595,3.0,76.62376237623762,217.009900990099,0.34500000000000014,12,True
V2,0.15,45,0.02,0.5,0.49,1.0,1.0,0.1,0.45294117647058824,1.0,0.5470588235294118,0.0,0.767530799494125,0.15711781232926958,3.0,67.2987012987013,203.67532467532467,0.36,0,True
V2,0.15,46,0.02,0.5,0.665,1.0,1.0,0.3,0.6470588235294118,1.0,0.35294117647058826,0.0,0.8260303566930816,0.16179716967315974,3.0,86.52727272727273,229.56363636363636,0.25,38,True
V2,0.15,47,0.02,0.5,0.58,1.0,1.0,0.2,0.5529411764705883,1.0,0.4470588235294118,0.0,0.8007432997692376,0.1631872837275525,3.0,74.06382978723404,212.87234042553192,0.23500000000000004,1,True
V2,0.15,48,0.02,0.5,0.48,1.0,1.0,0.2,0.43529411764705883,1.0,0.5647058823529412,0.0,0.7784266769886017,0.1641383594189872,3.0,77.41891891891892,218.17567567567568,0.2900000000000001,8,True
V2,0.15,49,0.02,0.5,0.465,1.0,1.0,0.1,0.4235294117647059,1.0,0.5764705882352941,0.0,1.2443543481640518,0.8299587356145285,3.0,67.0,203.0,0.35,0,True
V2,0.15,50,0.02,0.5,0.505,1.0,1.0,0.2,0.4647058823529412,1.0,0.5352941176470588,0.0,0.8258916571503505,0.24107001728707914,3.0,76.12658227848101,216.22784810126583,0.25,1,True
V2,0.15,51,0.02,0.5,0.505,1.0,1.0,0.2,0.4647058823529412,1.0,0.5352941176470588,0.0,0.7806704309768975,0.16171366455871647,3.0,77.0,216.72151898734177,0.2800000000000001,8,True
V2,0.15,42,0.02,0.7,0.535,1.0,1.0,0.3,0.49411764705882355,1.0,0.5058823529411764,0.0,0.7958933140616864,0.16688055276680655,3.0,76.13095238095238,215.98809523809524,0.39102000000000003,16,True
V2,0.15,43,0.02,0.7,0.485,1.0,1.0,0.2,0.4411764705882353,1.0,0.5588235294117647,0.0,0.844035383197479,0.24102638763207457,3.0,70.21333333333334,206.62666666666667,0.3723999999999999,1,True
V2,0.15,44,0.02,0.7,0.985,1.0,1.0,1.0,0.9823529411764705,1.0,0.01764705882352941,0.0,0.9458110097330064,0.10747435860720982,3.0,91.66467065868264,239.09580838323353,0.3287474209460001,86,True
V2,0.15,45,0.02,0.7,0.915,1.0,1.0,0.9,0.9058823529411765,1.0,0.09411764705882353,0.0,0.9110192465595901,0.1271075039695745,3.0,89.46753246753246,234.7012987012987,0.38022190024000013,85,True
V2,0.15,46,0.02,0.7,0.675,1.0,1.0,0.4,0.6529411764705882,1.0,0.34705882352941175,0.0,0.8751379582099617,0.5027457842922086,3.0,87.01801801801801,230.0,0.35699999999999993,40,True
V2,0.15,47,0.02,0.7,0.6,1.0,1.0,0.3,0.5705882352941176,1.0,0.4294117647058823,0.0,0.8083566732238978,0.1650465694287044,3.0,75.18556701030928,214.8041237113402,0.36442,5,True
V2,0.15,48,0.02,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9412262099795043,0.0997277550160287,3.0,97.20588235294117,245.7235294117647,0.6109185106920004,,False
V2,0.15,49,0.02,0.7,0.53,1.0,1.0,0.3,0.48823529411764705,1.0,0.5117647058823529,0.0,0.7993247639387846,0.2629370936654353,3.0,72.8433734939759,211.67469879518072,0.3731,13,True
V2,0.15,50,0.02,0.7,0.665,1.0,1.0,0.6,0.6294117647058823,1.0,0.37058823529411766,0.0,0.8267983805853873,0.16377927372744358,3.0,85.57009345794393,229.0467289719626,0.3133410000000001,33,True
V2,0.15,51,0.02,0.7,0.62,1.0,1.0,0.5,0.5823529411764706,1.0,0.4176470588235294,0.0,0.8133465843275189,0.16574054802805915,3.0,86.0909090909091,228.0909090909091,0.3468528000000001,31,True
V2,0.15,42,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9407035342883319,0.09863909881398694,3.0,97.38235294117646,244.85294117647058,0.9600000000000001,,False
V2,0.15,43,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9405314427567646,0.10008584047418312,3.0,93.03529411764706,240.1529411764706,0.8237920000000003,,False
V2,0.15,44,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9439362585544586,0.10004781953597605,3.0,91.70588235294117,239.28235294117647,0.8880000000000001,,False
V2,0.15,45,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.023319575469941,0.1585886784564455,3.0,92.86470588235294,238.4764705882353,1.0,,False
V2,0.15,46,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9747566387522966,0.13346593316779068,3.0,97.41764705882353,244.25294117647059,1.0,,False
V2,0.15,47,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9402433381183073,0.09964439098702707,3.0,92.97647058823529,237.72941176470587,1.0,,False
V2,0.15,48,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9379539132351056,0.09896953768283984,3.0,97.20588235294117,245.7235294117647,0.9,,False
V2,0.15,49,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9378365939483047,0.09929536933087217,3.0,90.80588235294118,237.26470588235293,0.8908400000000003,,False
V2,0.15,50,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9405022149439901,0.09985902360131471,3.0,97.26470588235294,243.94117647058823,1.0,,False
V2,0.15,51,0.02,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9375268610892817,0.09893085378048447,3.0,101.82352941176471,248.98235294117646,1.0,,False
V2,0.15,42,0.05,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9421328851021826,0.0993006596024608,3.0,97.38235294117646,244.85294117647058,0.8500000000000001,,False
V2,0.15,43,0.05,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9386649576481432,0.09772633753778541,3.0,93.03529411764706,240.1529411764706,0.5632250000000002,,False
V2,0.15,44,0.05,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9384701924864203,0.09850140434012242,3.0,91.70588235294117,239.28235294117647,0.675,,False
V2,0.15,45,0.05,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9365783020621166,0.09902936526590386,3.0,92.86470588235294,238.4764705882353,1.0,,False
V2,0.15,46,0.05,0.7,0.675,1.0,1.0,0.4,0.6529411764705882,1.0,0.34705882352941175,0.0,0.831574194598943,0.1619801171841566,3.0,87.01801801801801,230.0,0.37799999999999995,40,True
V2,0.15,47,0.05,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9631385008106008,0.11835559093586825,3.0,92.97647058823529,237.72941176470587,1.0,,False
V2,0.15,48,0.05,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9492295456584543,0.1018487756755088,3.0,97.20588235294117,245.7235294117647,0.7,,False
V2,0.15,49,0.05,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9420687798410654,0.09902772402688972,3.0,90.80588235294118,237.26470588235293,0.6390500000000002,,False
V2,0.15,50,0.05,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.938001008471474,0.09880691950036827,3.0,97.26470588235294,243.94117647058823,1.0,,False
V2,0.15,51,0.05,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9410066629061475,0.09941730487358268,3.0,101.82352941176471,248.98235294117646,1.0,,False
