seed,task_id,behaviour,verifier,detected
42,T-0004,honest,V1,False
42,T-0004,honest,V2,False
42,T-0004,naive,V1,True
42,T-0004,naive,V2,True
42,T-0004,forged,V1,True
42,T-0004,forged,V2,False
42,T-0035,honest,V1,False
42,T-0035,honest,V2,False
42,T-0035,naive,V1,True
42,T-0035,naive,V2,True
42,T-0035,forged,V1,True
42,T-0035,forged,V2,False
42,T-0036,honest,V1,False
42,T-0036,honest,V2,False
42,T-0036,naive,V1,True
42,T-0036,naive,V2,True
42,T-0036,forged,V1,True
42,T-0036,forged,V2,False
42,T-0068,honest,V1,False
42,T-0068,honest,V2,False
42,T-0068,naive,V1,True
42,T-0068,naive,V2,True
42,T-0068,forged,V1,True
42,T-0068,forged,V2,False
42,T-0070,honest,V1,False
42,T-0070,honest,V2,False
42,T-0070,naive,V1,True
42,T-0070,naive,V2,True
42,T-0070,forged,V1,True
42,T-0070,forged,V2,False
42,T-0131,honest,V1,False
42,T-0131,honest,V2,False
42,T-0131,naive,V1,True
42,T-0131,naive,V2,True
42,T-0131,forged,V1,True
42,T-0131,forged,V2,False
42,T-0138,honest,V1,False
42,T-0138,honest,V2,False
42,T-0138,naive,V1,True
42,T-0138,naive,V2,True
42,T-0138,forged,V1,True
42,T-0138,forged,V2,False
42,T-0148,honest,V1,False
42,T-0148,honest,V2,False
42,T-0148,naive,V1,True
42,T-0148,naive,V2,True
42,T-0148,forged,V1,True
42,T-0148,forged,V2,False
42,T-0175,honest,V1,False
42,T-0175,honest,V2,False
42,T-0175,naive,V1,True
42,T-0175,naive,V2,True
42,T-0175,forged,V1,True
42,T-0175,forged,V2,False
42,T-0191,honest,V1,False
42,T-0191,honest,V2,False
42,T-0191,naive,V1,True
42,T-0191,naive,V2,True
42,T-0191,forged,V1,True
42,T-0191,forged,V2,False
43,T-0008,honest,V1,False
43,T-0008,honest,V2,False
43,T-0008,naive,V1,True
43,T-0008,naive,V2,True
43,T-0008,forged,V1,True
43,T-0008,forged,V2,False
43,T-0010,honest,V1,False
43,T-0010,honest,V2,False
43,T-0010,naive,V1,True
43,T-0010,naive,V2,True
43,T-0010,forged,V1,True
43,T-0010,forged,V2,False
43,T-0036,honest,V1,False
43,T-0036,honest,V2,False
43,T-0036,naive,V1,True
43,T-0036,naive,V2,True
43,T-0036,forged,V1,True
43,T-0036,forged,V2,False
43,T-0045,honest,V1,False
43,T-0045,honest,V2,False
43,T-0045,naive,V1,True
43,T-0045,naive,V2,True
43,T-0045,forged,V1,True
43,T-0045,forged,V2,False
43,T-0105,honest,V1,False
43,T-0105,honest,V2,False
43,T-0105,naive,V1,True
43,T-0105,naive,V2,True
43,T-0105,forged,V1,True
43,T-0105,forged,V2,False
43,T-0161,honest,V1,False
43,T-0161,honest,V2,False
43,T-0161,naive,V1,True
43,T-0161,naive,V2,True
43,T-0161,forged,V1,True
43,T-0161,forged,V2,False
43,T-0164,honest,V1,False
43,T-0164,honest,V2,False
43,T-0164,naive,V1,True
43,T-0164,naive,V2,True
43,T-0164,forged,V1,True
43,T-0164,forged,V2,False
43,T-0168,honest,V1,False
43,T-0168,honest,V2,False
43,T-0168,naive,V1,True
43,T-0168,naive,V2,True
43,T-0168,forged,V1,True
43,T-0168,forged,V2,False
43,T-0186,honest,V1,False
43,T-0186,honest,V2,False
43,T-0186,naive,V1,True
43,T-0186,naive,V2,True
43,T-0186,forged,V1,True
43,T-0186,forged,V2,False
43,T-0196,honest,V1,False
43,T-0196,honest,V2,False
43,T-0196,naive,V1,True
43,T-0196,naive,V2,True
43,T-0196,forged,V1,True
43,T-0196,forged,V2,False
44,T-0019,honest,V1,False
44,T-0019,honest,V2,False
44,T-0019,naive,V1,True
44,T-0019,naive,V2,True
44,T-0019,forged,V1,True
44,T-0019,forged,V2,False
44,T-0041,honest,V1,False
44,T-0041,honest,V2,False
44,T-0041,naive,V1,True
44,T-0041,naive,V2,True
44,T-0041,forged,V1,True
44,T-0041,forged,V2,False
44,T-0062,honest,V1,False
44,T-0062,honest,V2,False
44,T-0062,naive,V1,True
44,T-0062,naive,V2,True
44,T-0062,forged,V1,True
44,T-0062,forged,V2,False
44,T-0091,honest,V1,False
44,T-0091,honest,V2,False
44,T-0091,naive,V1,True
44,T-0091,naive,V2,True
44,T-0091,forged,V1,True
44,T-0091,forged,V2,False
44,T-0102,honest,V1,False
44,T-0102,honest,V2,False
44,T-0102,naive,V1,True
44,T-0102,naive,V2,True
44,T-0102,forged,V1,True
44,T-0102,forged,V2,False
44,T-0110,honest,V1,False
44,T-0110,honest,V2,False
44,T-0110,naive,V1,True
44,T-0110,naive,V2,True
44,T-0110,forged,V1,True
44,T-0110,forged,V2,False
44,T-0163,honest,V1,False
44,T-0163,honest,V2,False
44,T-0163,naive,V1,True
44,T-0163,naive,V2,True
44,T-0163,forged,V1,True
44,T-0163,forged,V2,False
44,T-0165,honest,V1,False
44,T-0165,honest,V2,False
44,T-0165,naive,V1,True
44,T-0165,naive,V2,True
44,T-0165,forged,V1,True
44,T-0165,forged,V2,False
44,T-0189,honest,V1,False
44,T-0189,honest,V2,False
44,T-0189,naive,V1,True
44,T-0189,naive,V2,True
44,T-0189,forged,V1,True
44,T-0189,forged,V2,False
44,T-0196,honest,V1,False
44,T-0196,honest,V2,False
44,T-0196,naive,V1,True
44,T-0196,naive,V2,True
44,T-0196,forged,V1,True
44,T-0196,forged,V2,False
45,T-0002,honest,V1,False
45,T-0002,honest,V2,False
45,T-0002,naive,V1,True
45,T-0002,naive,V2,True
45,T-0002,forged,V1,True
45,T-0002,forged,V2,False
45,T-0015,honest,V1,False
45,T-0015,honest,V2,False
45,T-0015,naive,V1,True
45,T-0015,naive,V2,True
45,T-0015,forged,V1,True
45,T-0015,forged,V2,False
45,T-0028,honest,V1,False
45,T-0028,honest,V2,False
45,T-0028,naive,V1,True
45,T-0028,naive,V2,True
45,T-0028,forged,V1,True
45,T-0028,forged,V2,False
45,T-0054,honest,V1,False
45,T-0054,honest,V2,False
45,T-0054,naive,V1,True
45,T-0054,naive,V2,True
45,T-0054,forged,V1,True
45,T-0054,forged,V2,False
45,T-0107,honest,V1,False
45,T-0107,honest,V2,False
45,T-0107,naive,V1,True
45,T-0107,naive,V2,True
45,T-0107,forged,V1,True
45,T-0107,forged,V2,False
45,T-0132,honest,V1,False
45,T-0132,honest,V2,False
45,T-0132,naive,V1,True
45,T-0132,naive,V2,True
45,T-0132,forged,V1,True
45,T-0132,forged,V2,False
45,T-0146,honest,V1,False
45,T-0146,honest,V2,False
45,T-0146,naive,V1,True
45,T-0146,naive,V2,True
45,T-0146,forged,V1,True
45,T-0146,forged,V2,False
45,T-0158,honest,V1,False
45,T-0158,honest,V2,False
45,T-0158,naive,V1,True
45,T-0158,naive,V2,True
45,T-0158,forged,V1,True
45,T-0158,forged,V2,False
45,T-0166,honest,V1,False
45,T-0166,honest,V2,False
45,T-0166,naive,V1,True
45,T-0166,naive,V2,True
45,T-0166,forged,V1,True
45,T-0166,forged,V2,False
45,T-0177,honest,V1,False
45,T-0177,honest,V2,False
45,T-0177,naive,V1,True
45,T-0177,naive,V2,True
45,T-0177,forged,V1,True
45,T-0177,forged,V2,False
46,T-0019,honest,V1,False
46,T-0019,honest,V2,False
46,T-0019,naive,V1,True
46,T-0019,naive,V2,True
46,T-0019,forged,V1,True
46,T-0019,forged,V2,False
46,T-0082,honest,V1,False
46,T-0082,honest,V2,False
46,T-0082,naive,V1,True
46,T-0082,naive,V2,True
46,T-0082,forged,V1,True
46,T-0082,forged,V2,False
46,T-0083,honest,V1,False
46,T-0083,honest,V2,False
46,T-0083,naive,V1,True
46,T-0083,naive,V2,True
46,T-0083,forged,V1,True
46,T-0083,forged,V2,False
46,T-0086,honest,V1,False
46,T-0086,honest,V2,False
46,T-0086,naive,V1,True
46,T-0086,naive,V2,True
46,T-0086,forged,V1,True
46,T-0086,forged,V2,False
46,T-0118,honest,V1,False
46,T-0118,honest,V2,False
46,T-0118,naive,V1,True
46,T-0118,naive,V2,True
46,T-0118,forged,V1,True
46,T-0118,forged,V2,False
46,T-0130,honest,V1,False
46,T-0130,honest,V2,False
46,T-0130,naive,V1,True
46,T-0130,naive,V2,True
46,T-0130,forged,V1,True
46,T-0130,forged,V2,False
46,T-0143,honest,V1,False
46,T-0143,honest,V2,False
46,T-0143,naive,V1,True
46,T-0143,naive,V2,True
46,T-0143,forged,V1,True
46,T-0143,forged,V2,False
46,T-0148,honest,V1,False
46,T-0148,honest,V2,False
46,T-0148,naive,V1,True
46,T-0148,naive,V2,True
46,T-0148,forged,V1,True
46,T-0148,forged,V2,False
46,T-0155,honest,V1,False
46,T-0155,honest,V2,False
46,T-0155,naive,V1,True
46,T-0155,naive,V2,True
46,T-0155,forged,V1,True
46,T-0155,forged,V2,False
46,T-0184,honest,V1,False
46,T-0184,honest,V2,False
46,T-0184,naive,V1,True
46,T-0184,naive,V2,True
46,T-0184,forged,V1,True
46,T-0184,forged,V2,False
47,T-0021,honest,V1,False
47,T-0021,honest,V2,False
47,T-0021,naive,V1,True
47,T-0021,naive,V2,True
47,T-0021,forged,V1,True
47,T-0021,forged,V2,False
47,T-0022,honest,V1,False
47,T-0022,honest,V2,False
47,T-0022,naive,V1,True
47,T-0022,naive,V2,True
47,T-0022,forged,V1,True
47,T-0022,forged,V2,False
47,T-0031,honest,V1,False
47,T-0031,honest,V2,False
47,T-0031,naive,V1,True
47,T-0031,naive,V2,True
47,T-0031,forged,V1,True
47,T-0031,forged,V2,False
47,T-0066,honest,V1,False
47,T-0066,honest,V2,False
47,T-0066,naive,V1,True
47,T-0066,naive,V2,True
47,T-0066,forged,V1,True
47,T-0066,forged,V2,False
47,T-0103,honest,V1,False
47,T-0103,honest,V2,False
47,T-0103,naive,V1,True
47,T-0103,naive,V2,True
47,T-0103,forged,V1,True
47,T-0103,forged,V2,False
47,T-0106,honest,V1,False
47,T-0106,honest,V2,False
47,T-0106,naive,V1,True
47,T-0106,naive,V2,True
47,T-0106,forged,V1,True
47,T-0106,forged,V2,False
47,T-0134,honest,V1,False
47,T-0134,honest,V2,False
47,T-0134,naive,V1,True
47,T-0134,naive,V2,True
47,T-0134,forged,V1,True
47,T-0134,forged,V2,False
47,T-0142,honest,V1,False
47,T-0142,honest,V2,False
47,T-0142,naive,V1,True
47,T-0142,naive,V2,True
47,T-0142,forged,V1,True
47,T-0142,forged,V2,False
47,T-0162,honest,V1,False
47,T-0162,honest,V2,False
47,T-0162,naive,V1,True
47,T-0162,naive,V2,True
47,T-0162,forged,V1,True
47,T-0162,forged,V2,False
47,T-0186,honest,V1,False
47,T-0186,honest,V2,False
47,T-0186,naive,V1,True
47,T-0186,naive,V2,True
47,T-0186,forged,V1,True
47,T-0186,forged,V2,False
48,T-0013,honest,V1,False
48,T-0013,honest,V2,False
48,T-0013,naive,V1,True
48,T-0013,naive,V2,True
48,T-0013,forged,V1,True
48,T-0013,forged,V2,False
48,T-0025,honest,V1,False
48,T-0025,honest,V2,False
48,T-0025,naive,V1,True
48,T-0025,naive,V2,True
48,T-0025,forged,V1,True
48,T-0025,forged,V2,False
48,T-0038,honest,V1,False
48,T-0038,honest,V2,False
48,T-0038,naive,V1,True
48,T-0038,naive,V2,True
48,T-0038,forged,V1,True
48,T-0038,forged,V2,False
48,T-0051,honest,V1,False
48,T-0051,honest,V2,False
48,T-0051,naive,V1,True
48,T-0051,naive,V2,True
48,T-0051,forged,V1,True
48,T-0051,forged,V2,False
48,T-0094,honest,V1,False
48,T-0094,honest,V2,False
48,T-0094,naive,V1,True
48,T-0094,naive,V2,True
48,T-0094,forged,V1,True
